Gilroy,,,,,05:52,06:31,06:52,07:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamien,04:37,,05:52,,06:35,07:14,07:35,08:14,08:52,,09:42,,10:52,,11:52,,12:52,,13:52,,14:47,,15:52,,16:52,,17:52,,18:52,,19:52,,20:52,,21:52,,23:24,
Diridon,04:43,05:08,05:58,06:28,06:58,07:28,07:53,08:28,08:58,09:28,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:53,15:28,15:58,16:28,16:58,17:28,17:58,18:28,18:58,19:28,19:58,20:28,20:58,21:28,21:58,22:30,23:30,
Mountain View,05:01,05:26,06:16,06:46,07:16,07:46,08:16,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:48,23:48,
Millbrae,05:39,06:04,06:54,07:24,07:54,08:24,08:54,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:54,19:24,19:54,20:24,20:54,21:24,21:54,22:24,22:54,23:26,00:26,
4th & King,06:01,06:26,07:16,07:46,08:16,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:28,00:48,
4th & King,04:55,05:30,06:25,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,20:55,21:25,21:55,22:25,22:55,23:25,00:05
Millbrae,05:16,05:52,06:46,07:16,07:46,08:16,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,00:26
Mountain View,05:54,06:34,07:24,07:54,08:24,08:54,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:54,19:24,19:54,20:24,20:54,21:24,21:54,22:24,22:54,11:24,11:54,00:24,01:04
Diridon,06:12,07:03,07:42,08:23,08:42,09:13,09:42,10:13,10:42,11:13,11:42,12:13,12:42,13:13,13:42,14:13,14:42,15:13,15:42,16:14,16:42,17:13,17:42,18:13,18:42,19:13,19:42,20:13,20:42,21:13,21:42,22:13,22:42,23:13,23:42,00:13,00:42,01:21
Tamien,,07:08,,08:28,,09:18,,10:18,,11:18,,12:18,,13:18,,14:18,,15:18,,16:19,17:06,17:18,18:06,18:18,,19:18,,20:18,,21:18,,22:18,,23:18,,00:18,,01:28
Gilroy,,,,,,,,,,,,,,,,,,,,17:11,17:49,,18:49,19:11,,,,,,,,,,,,,,
